Close Price,Total Traded Quantity,Turnover (in lacs),No. of Contracts
399.15,2628976,10582.52412,17587
394.25,2241951,8826.367462,22358
388.45,2177443,8524.313959,14294
372.7,2054951,7686.14299,18002
363.65,2587693,9395.583722,20030
366.05,2222019,8201.357185,12724
346.3,3265631,11442.58945,12535
347.9,3082977,10613.43411,4218
323.1,3268078,10709.84486,6356
324.9,4506689,14758.37083,8123
322.15,3898349,12674.24257,6891
300.7,5192278,16184.73868,8977
294.95,8665757,25871.88204,13099
281.4,3612891,10294.60333,7787
304.5,5253983,15554.46851,10488
329.9,4381546,14181.69829,6655
342.55,5814820,19823.76801,11088
325.5,5128623,17091.95504,9616
340.7,4897697,16735.20135,8759
358,5603741,19665.04526,12061
342.4,4891086,16975.74003,10008
373.65,4808782,17431.95304,10472
371.95,6089281,23527.8583,14594
398.1,6500122,25101.67213,14641
421.4,7610088,31752.73822,12993
431.05,5796734,24822.70206,7316
397,5067237,20511.63425,8270
414.95,9739763,39339.10109,13312
418.15,5271983,21810.47499,8437
439.6,4103869,18158.02012,6339
435.25,5554676,24509.15901,6735
443.55,5843471,25160.46107,7003
445.6,7968136,35651.92125,7899
461.85,4851315,22528.11177,6529
504.2,6760323,32293.23931,8904
472.1,6899033,33901.05211,9796
503.25,5750211,28720.06486,8630
509.85,6396039,33154.66382,8822
493.95,9574494,46842.61402,13910
472.15,6601603,31995.62075,12357
502.05,6452001,31403.70098,12399
529.6,6924508,36146.41571,9381
557.5,6682034,36712.69404,13531
530.7,6507252,35443.20207,16642
557.3,4968188,27242.76006,8765
609.35,4794343,28394.91551,6312
627.35,6586596,41225.51047,9613
605.25,5337630,32681.65502,9124
624.75,2765313,17146.54559,5102
607.25,2787975,16973.66042,5646
620.35,4915809,30385.28673,8738
669,5882766,37938.89127,9885
671.7,6144979,41567.93797,11087
637.55,6493362,41337.37378,8333
659.6,4254524,28094.14791,6728
778.4,68811,529.7190515,150
764.8,6695326,52981.27564,8094
728.55,4193876,31468.71515,5812
736.2,4272377,31512.30302,7689
762.85,3561757,26671.34836,7009
774,2033607,15626.31797,4398
744.75,2061084,15582.42851,4573
797.75,2616496,20489.31332,8867
782.05,4611067,36222.39243,5797
778.95,3449748,27417.54431,3307
741.75,4944838,37097.93217,4839
719.9,6324978,45817.44363,6872
717,3992532,28878.80712,4611
734.85,4921815,35352.36637,6088
738.5,3840172,28425.47044,5247
698.2,2250126,16086.37259,3430
726.05,2810991,19992.26078,4190
752.5,3495583,26128.44024,5254
726.6,2502959,18351.94446,4172
703.75,3255234,23614.28534,4228
718.4,3618787,26063.00643,4798
759.65,3356419,24796.30089,4881
721.6,3157794,23677.15509,4339
733,3995297,29059.60267,5818
756.15,2662719,19742.73848,4360
765.8,3361744,25910.30443,6220
749.35,2454702,18168.16662,5684
768.85,2073492,15694.74315,6880
778.55,3150564,24594.94999,5790
818.05,3000075,24125.10802,7455
867.55,6521782,56522.82259,16149
832.25,5084110,43467.73799,12726
869.4,4307515,37031.74282,11004
853.7,2849103,24349.39431,7910
873.35,2619210,22676.0386,5967
794.4,3011859,24965.57532,7898
816.75,3693980,30000.59654,8589
786.5,3625169,28684.87224,10673
764.95,3763368,28855.20466,10472
738.25,2998644,22913.49195,7163
755.4,6939636,51100.36416,19081
763.2,5447948,41909.75121,12964
788.7,4166519,32354.63101,10321
798.65,2972234,23707.83939,7342
851.1,3553744,29725.39065,9845
886.35,2630380,23045.1111,7837
884.4,2965450,26050.63254,7445
860.7,2987110,26356.62647,8602
893.95,2943393,26100.02657,8079
893.95,2463152,22017.87682,6828
938.35,3483223,32356.33948,9481
956.6,3929112,36993.03407,15140
917.6,3140490,28823.7807,17184
920.6,2419222,22111.28361,10763
917.15,2309631,21450.2759,6350
921.75,1799971,16568.56561,4728
894.7,2384269,21535.88999,8305
851.85,4668572,39967.67598,11198
845.6,4647346,39939.42186,9010
814.65,3439692,28437.85561,6690
843.3,6290501,52251.66292,12992
869.9,5207964,44708.12135,10638
870.4,3104155,26582.4001,8045
877.35,3101983,27235.46642,6832
870.1,1724582,14987.91958,4636
828.05,2322296,19533.3951,5631
831.1,2434754,20280.24126,6142
820.9,2453892,20123.63839,6472
845.35,2236495,18735.213,5766
882.45,3529873,30441.89211,9043
909.7,2365553,21408.82316,9545
916.5,2413623,21959.06385,14404
933.2,2233685,20711.40243,10216
922.75,1926701,17893.44683,9642
918.85,1435130,13133.8686,5499
905.3,1468028,13255.74453,5368
892.7,1634893,14773.48875,5702
889.2,1184260,10577.30062,4136
888.6,1267286,11391.39546,4318
907.25,1106782,9976.775457,4384
932.6,1827208,16968.34433,4205
905.25,2153427,19780.65015,5576
915.35,1421502,12957.36462,4436
909.3,1993240,18225.78405,6893
902.9,1714606,15477.30551,4509
895.65,1387168,12458.31335,4207
909.65,1597080,14520.63213,4733
907.65,1221629,11126.03537,5821
911.85,1732900,15910.76016,7703
913.85,3443387,31369.18318,10840
909.95,1157697,10588.44679,13642
920,3352380,30918.34478,12746
919.75,1701913,15601.50346,9673
914.8,1419399,13061.76936,3481
926.3,2001189,18470.61431,3820
985.15,9047510,87170.31388,17735
1009.3,4823998,48565.57024,12276
969.1,2703356,26457.43438,6268
998.85,2420947,23816.79439,8077
980.65,2439662,24317.819,6643
1009.85,3410048,34323.33126,10068
996.45,2947124,29597.94317,7985
1013.45,2524307,25517.02831,6391
1032.4,2295984,23638.22664,6029
1006,2099956,21207.99561,6459
1006.5,2846080,28646.92562,6298
1011.15,263363,2668.74866,1118
994.3,1814083,18243.90183,6214
977.05,1748723,17174.18197,4496
966.15,1319687,12837.94836,4975
994.05,1660805,16455.45381,6641
967.9,892198,8737.887535,7360
952.3,3606870,34330.27485,13984
928.1,3041770,28689.21262,13161
907.65,3527058,32164.76097,10984
907.4,2180396,20270.07683,6347
894,2328666,21042.14996,6588
924.1,1892153,17231.20118,5890
916.1,2208008,20056.43783,6225
937.9,1886150,17675.49549,4530
998,3972105,38908.88969,9834
996.4,2410118,24221.03912,7662
1005.2,1613098,16175.78736,4842
980.1,2818891,27833.05239,5272
996.1,2445241,24207.21614,5451
1001.25,1766271,17734.94482,3709
1002.2,1316582,13084.02128,5166
999.15,1017601,10173.85209,2925
986.55,1170092,11624.22489,4283
992.05,1850679,18103.73399,6042
999.4,1103670,11059.53696,9291
1000.1,1194076,11889.61144,5292
1016.65,2390116,24221.36378,9092
997.35,2711776,27628.63088,11439
971.2,1831950,17599.20569,6496
999.4,1468304,14680.74831,4614
1036.85,1674234,17189.88874,6654
1047.45,1613711,16858.74247,6220
1049.6,1128898,11885.72213,4601
1027.05,1003950,10356.48269,3994
1009.05,962491,9781.471395,2662
1039.7,1764977,18141.72998,4989
1015.85,1053088,10736.78291,3481
1021.35,1370556,13946.21993,4889
1003.75,1159922,11730.11467,3756
994.65,1108154,11098.49341,3414
959.7,1935976,18909.813,5508
937.25,2996210,28304.87346,6975
941.75,3004119,27976.74655,7689
934.3,1531195,14419.50995,5012
954.3,1712535,16202.61204,8474
970.2,1649671,15983.46007,6882
982.4,1321535,12921.96354,6415
987.35,1024785,10101.97379,3856
984.75,710957,7038.098557,2692
981.4,1011654,9893.14713,5432
989.2,1247008,12322.48319,5144
992.1,874302,8687.669207,2090
1012.8,1525876,15441.29676,3861
995.8,1190717,11936.75134,3332
1002.85,992905,9923.541313,2903
1015.95,1586285,16031.77642,4319
1049.4,2019301,20980.23096,6394
1049.3,2870381,30221.91033,9842
1040.3,2100740,21770.56179,5220
1066.1,2149282,22914.59508,6635
1077.8,3272539,35303.31348,9143
1107.65,2006720,21973.14624,9536
1105.75,1613897,17804.37524,5397
1083.75,1316969,14376.60868,4465
1061.25,1462619,15544.11147,5522
1031.65,1455147,15118.14085,5596
1018.7,1048612,10650.18155,6446
972.75,2425515,23816.25319,10782
1018.8,2869552,28831.98388,12460
1025.7,3078497,31325.70087,9524
1062.55,2136090,22327.2993,5886
1037.3,1776677,18599.63583,6671
1071,2652143,28157.19228,8232
1048.45,1317167,13931.33558,5464
1025.7,2442482,24728.84434,8635
1030.75,139372,1436.256391,825
1022.7,1485293,15192.19554,5935
1038.55,1845165,19162.20465,7465
1024.65,1657271,17117.08417,5668
1033.2,815759,8458.256798,3974
1028.85,909866,9384.996623,3211
1026.15,1327251,13599.34186,4261
1067.3,2273282,24062.45764,8455
1098.5,4971386,54475.35669,17365
1094.5,2771256,30134.87987,12004
1107.45,1743098,19273.94598,10463
1098.15,2249941,25130.08476,15544
1093.8,1720318,18748.74725,14317
1096.25,1547763,16927.01893,13174
1124.5,1623356,18156.90767,7495
1155,2992706,34678.92919,6576
1148.9,2273136,26300.40407,5348
1121.65,2223723,25016.03042,7376
1103.35,2632950,29322.82098,8046
1129.3,3179385,35578.03379,7439
1117.65,904991,10109.45988,4147
1131.5,1239377,13986.51155,6032
1151.35,1809188,20741.34098,6086
1151.05,1948477,22478.55825,3901
1142.7,901565,10297.8655,3595
1144.9,1345188,15346.75136,3488
1149.2,2425033,27848.73902,5047
1163.8,1537854,17911.01946,7738
1156,1226644,14183.22192,4906
1146.5,1098538,12530.00222,10671
1161.95,1252603,14562.49749,8391
1154.8,1513156,17496.68664,9494
1193.25,1805457,21218.94804,7382
1198.95,1205706,14521.93115,5228
1173.1,1066027,12656.24926,4307
1168.25,707646,8277.482871,3689
1173.55,763263,8968.059664,2654
1177.1,839008,9846.552732,3956
1174.55,860496,10108.01594,3248
1164.3,3690875,42927.63944,8173
1156.75,1348153,15605.90105,3609
1183.45,2559419,30175.54916,5756
1176.9,1434505,16900.09573,3440
1157.6,965174,11209.82833,3123
1148.3,1430556,16525.78781,3727
1148.4,1124542,12922.60616,5199
1159.3,1225933,14103.86885,5130
1187,1799670,21211.90043,10420
1237.4,5209435,64447.5132,17096
1224.95,2760682,33928.44338,10935
1235.9,1144011,14101.53011,6089
1279.6,3365369,42888.388,10542
1276.55,1426990,18228.07731,9547
1254.1,1220141,15374.76457,9552
1274.1,2642086,33687.24114,14269
1270,1112086,14150.32895,3768
1260.5,467664,5894.23837,2624
1249.45,1667415,21230.86081,7102
1241.3,1345301,16658.44286,6978
1233.95,842449,10394.22568,5523
1191.15,1811023,21649.40775,7144
1249.45,1598755,19776.94851,4751
1259.35,1815840,22988.85993,5865
1289.9,1813674,23202.30061,7381
1311.55,1994635,26175.40119,6584
1295.75,3799625,49159.40435,8713
1262.2,3377258,42185.8646,9452
1254.7,3319599,41692.69484,5440
1205.05,2397393,29232.76265,8940
1207.95,2308754,27814.02379,11875
1215.65,1764687,21151.41588,8377
1198.35,1017191,12394.0417,9130
1163.9,1544617,18052.7049,12549
1156.9,2861383,33380.59893,11909
1215.8,2701512,32117.31489,15342
1225.35,1549420,18929.17992,6111
1232.35,932554,11401.37128,4212
1181.7,1786082,21384.54044,6918
1201.15,1307410,15556.49949,5690
1242.3,1482919,18264.04343,6256
1245.45,1454459,18176.70759,5293
1214.8,1424594,17227.25114,5940
1226.2,1681502,20671.04204,6655
1239.65,1562542,19410.62463,6191
1248,1363598,16825.28912,5753
1245.8,1405607,17514.08569,4830
1256.5,613978,7687.063204,3776
1245.25,661876,8221.451039,8162
1220.6,1357457,16625.62461,6328
1215,2225281,26866.88869,10838
1211.5,2554189,31037.81463,6779
1247.3,1405672,17474.79079,11196
1235.65,969098,12065.60149,14117
1249.4,1076305,13396.54659,13131
1263.2,1841464,23189.03783,13504
1249.1,1307561,16453.9473,10225
1261.95,796613,9992.039254,5308
1240.65,1079879,13463.90804,6665
1242.4,1430782,17688.6459,7055
1233.65,1167934,14330.72123,6455
1237.2,485624,6027.730639,4582
1235.95,419595,5195.209467,2737
1253.3,877356,10986.12593,5428
1237.05,864282,10734.70608,5854
1241.55,918276,11469.29884,4673
1273.1,1096803,13899.56876,8079
1288.3,862435,11057.25135,8112
1299.7,760940,9841.120755,6594
1314.45,1695095,22309.5778,8811
1350.3,3188853,42583.97281,26176
1357.15,2303112,31231.03727,11835
1360.8,1461949,19853.44574,8408
1368.95,1610253,22144.245,14036
1347.15,1164255,15702.44451,10607
1356.8,1492124,20232.96927,17579
1389.95,2438091,33727.82059,15583
1385.85,1113190,15402.10353,11679
1374.45,1626816,22454.75912,18897
1349.95,1400048,18974.37946,18879
1365.6,1509004,20498.82207,17484
1343.45,932237,12606.96428,7098
1350.75,944754,12752.60549,5639
1356,990716,13495.11058,7153
1331.4,1180571,15783.67709,7396
1316.6,1346929,17891.02215,7040
1314.3,662095,8746.219747,4947
1309.8,1572650,20551.12227,8097
1294.9,1348168,17564.1369,6669
1289.1,1324664,17045.73302,7261
1315.6,1195305,15580.77122,10874
1328.2,906967,12055.02903,6339
1336.6,995518,13279.74105,7043
1330.75,915432,12199.74178,5161
1353.25,1261419,16837.53512,9857
1363.55,936843,12703.43431,10773
1367,924946,12635.22308,7534
1381.25,730367,10035.82336,8925
1372.15,1083054,14831.48441,13044
1361.7,1315601,18008.45124,18760
1367.8,1437661,19626.53812,14875
